source,target,weight,methods,emotional,surprisal,pmi,relation
главных центров,город долгопрудный,2,"['cooccurrence', 'perplexity']",,17.5961,5.0251,
андрей воробьев,воробьев,16,"['cooccurrence', 'emotional', 'rhetorical', 'perplexity']",True,15.6924,5.9533,contrast
андрей воробьев,московской области андрей,5,"['cooccurrence', 'emotional', 'perplexity']",True,17.5961,5.5113,
воробьев,дмитрий воробьев,4,"['cooccurrence', 'perplexity']",,17.5961,5.2428,
воробьев,фрязино дмитрий воробьев,4,"['cooccurrence', 'perplexity']",,17.5961,5.2428,
крупнейших центров развития,центров развития науки,2,"['cooccurrence', 'perplexity']",,16.0637,6.3593,
подмосковный город,получил статус наукограда,3,"['cooccurrence', 'perplexity']",,16.9236,6.5507,
подмосковный город,город долгопрудный,3,"['cooccurrence', 'perplexity']",,15.6998,6.5226,
подмосковный город,долгопрудный получил статус,2,"['cooccurrence', 'perplexity']",,16.4811,6.5088,
получил статус наукограда,город долгопрудный,6,"['cooccurrence', 'perplexity']",,16.2295,5.9377,
получил статус наукограда,долгопрудный получил статус,5,"['cooccurrence', 'perplexity']",,15.8731,6.2458,
получил статус наукограда,статус наукограда россии,2,"['cooccurrence', 'perplexity']",,15.4852,6.4682,
город долгопрудный,долгопрудный получил статус,4,"['cooccurrence', 'perplexity']",,16.2169,5.8959,
город долгопрудный,долгопрудный в московской,2,"['cooccurrence', 'perplexity']",,16.0979,7.0251,
долгопрудный получил статус,статус наукограда россии,2,"['cooccurrence', 'perplexity']",,16.1846,7.0113,
оэз,ренат халимов,7,"['cooccurrence', 'emotional', 'perplexity']",True,17.0961,5.0403,
подписал председатель правительства,председатель правительства михаил,6,"['cooccurrence', 'perplexity']",,16.5311,5.8008,
подписал председатель правительства,подписал председатель,7,"['cooccurrence', 'perplexity']",,17.0961,6.0232,
подписал председатель правительства,правительства михаил,6,"['cooccurrence', 'perplexity']",,16.4986,5.8008,
подписал председатель правительства,соответствующее распоряжение подписал,3,"['cooccurrence', 'perplexity']",,17.485,6.3077,
председатель правительства михаил,подписал председатель,6,"['cooccurrence', 'perplexity']",,17.5961,5.8008,
председатель правительства михаил,правительства михаил,7,"['cooccurrence', 'perplexity']",,16.4986,6.0232,
председатель правительства михаил,соответствующее распоряжение подписал,2,"['cooccurrence', 'perplexity']",,17.5961,5.7228,
подписал председатель,правительства михаил,6,"['cooccurrence', 'perplexity']",,16.6998,5.8008,
подписал председатель,соответствующее распоряжение подписал,3,"['cooccurrence', 'perplexity']",,17.4294,6.3077,
правительства михаил,соответствующее распоряжение подписал,2,"['cooccurrence', 'perplexity']",,17.5961,5.7228,
статус позволит долгопрудному,позволит долгопрудному получать,2,"['cooccurrence', 'perplexity']",,16.56,8.1109,
великой отечественной,великой отечественной войны,15,"['cooccurrence', 'perplexity']",,16.1945,6.3356,
городского округа,городского округа троицк,5,"['cooccurrence', 'perplexity']",,16.3025,5.3929,
чернышенко,дмитрий чернышенко,7,"['cooccurrence', 'perplexity']",,17.5961,6.0011,
дмитрий,дмитрий медведев,5,"['cooccurrence', 'perplexity']",,16.3036,5.2393,
дмитрий,иннополиса дмитрий вандюков,3,"['anaphora', 'cooccurrence', 'perplexity']",,16.8221,5.9618,
дмитрий,дмитрий демешин,4,"['anaphora', 'cooccurrence', 'emotional', 'perplexity']",True,16.8036,5.5695,
дмитрий,дмитрий вандюков рассказал,2,"['anaphora', 'cooccurrence', 'perplexity']",,16.8221,6.3769,
медиабанк подмосковья,ольга вельшикаева,4,"['cooccurrence', 'perplexity']",,17.0156,5.4218,
большой серпухов,городской округ большой,2,"['cooccurrence', 'perplexity']",,17.4294,6.4588,
медведев,дмитрий медведев,5,"['cooccurrence', 'perplexity']",,17.5961,7.0645,
инновационного центра сколково,центра сколково,3,"['cooccurrence', 'perplexity']",,15.5317,9.3917,
пущино и протвино,глава комитета госдумы,2,"['cooccurrence', 'emotional', 'perplexity']",True,15.383,5.0251,
пущино и протвино,вконтакте телеграм поделиться,2,"['cooccurrence', 'emotional', 'perplexity']",True,15.4247,5.0251,
ниу,ниу вшэ,8,"['cooccurrence', 'perplexity']",,15.9351,6.8097,
ниу,исиэз ниу вшэ,3,"['cooccurrence', 'perplexity']",,16.4888,6.8308,
начале февраля,начале февраля статус,2,"['cooccurrence', 'perplexity']",,16.9986,9.5557,
начале февраля,получившем в начале,2,"['cooccurrence', 'perplexity']",,17.2091,9.5557,
начале февраля статус,получившем в начале,2,"['cooccurrence', 'perplexity']",,16.8933,9.7256,
бурда,михаил бурда,5,"['anaphora', 'cooccurrence', 'perplexity']",,17.5961,7.96,
принял во втором,чтении законодательные поправки,2,"['cooccurrence', 'perplexity']",,17.1859,8.5557,
принял во втором,мажилис принял,2,"['cooccurrence', 'perplexity']",,17.362,8.5557,
принял во втором,втором чтении законодательные,2,"['cooccurrence', 'perplexity']",,17.0059,8.5557,
чтении законодательные поправки,мажилис принял,2,"['cooccurrence', 'perplexity']",,17.5961,8.5557,
чтении законодательные поправки,втором чтении законодательные,2,"['cooccurrence', 'perplexity']",,17.42,8.5557,
мажилис принял,втором чтении законодательные,2,"['cooccurrence', 'perplexity']",,17.5961,8.5557,
депутат асхат аймагамбетов,сообщил депутат асхат,2,"['cooccurrence', 'perplexity']",,17.42,9.8187,
кольцово новосибирской,наукограде кольцово,2,"['cooccurrence', 'perplexity']",,17.1558,5.7656,
евгений,евгений чердаков,3,"['cooccurrence', 'perplexity']",,16.1924,6.9377,
валерий,валерий чарушин,5,"['cooccurrence', 'perplexity']",,16.3036,6.0113,
валерий,уральского отделения ран,2,"['cooccurrence', 'perplexity']",,17.5961,6.0113,
валерий,валерий фальков,22,"['anaphora', 'cooccurrence', 'emotional', 'perplexity']",True,15.4351,5.0445,
валерий чарушин,уральского отделения ран,2,"['cooccurrence', 'perplexity']",,17.5961,9.2337,
ниу вшэ,исиэз ниу вшэ,3,"['cooccurrence', 'perplexity']",,17.0424,6.6995,
сколково парк,atlantic international school,4,"['anaphora', 'cooccurrence', 'perplexity']",,16.5327,7.8738,
сколково парк,cambridge university,3,"['anaphora', 'cooccurrence', 'perplexity']",,16.5327,8.0438,
cambridge university,atlantic international school,3,"['anaphora', 'cooccurrence', 'perplexity']",,17.5961,8.1109,
геонод разведка,геонод,11,"['anaphora', 'cooccurrence', 'perplexity']",,17.5961,8.1864,
игорь,московской областной думы,2,"['cooccurrence', 'perplexity']",,17.5961,6.8927,
игорь,игорь трифонов,10,"['cooccurrence', 'emotional', 'perplexity']",True,16.0111,5.8571,
игорь,глава наукограда игорь,4,"['cooccurrence', 'emotional', 'perplexity']",True,17.5961,5.3691,
игорь,мособлдумы игорь брынцалов,3,"['cooccurrence', 'perplexity']",,16.4888,5.3902,
игорь,игорь брынцалов,11,"['anaphora', 'cooccurrence', 'emotional', 'perplexity']",True,15.9351,5.5972,
шагалеев,руслан,11,"['anaphora', 'cooccurrence', 'perplexity']",,17.5961,5.495,
шагалеев,руслана шагалеева,3,"['anaphora', 'cooccurrence', 'perplexity']",,17.5961,5.7275,
шагалеев,руслан шагалеев,7,"['cooccurrence', 'perplexity']",,17.5961,5.7434,
руслан,руслан шагалеев,7,"['cooccurrence', 'perplexity']",,15.9351,6.8187,
татарстана,горной стороны,2,"['cooccurrence', 'perplexity']",,17.5961,5.727,
института развития городов,наиля зиннатуллина,4,"['cooccurrence', 'rhetorical', 'perplexity']",,16.9249,6.17,contrast
института развития городов,бизнес online,3,"['cooccurrence', 'rhetorical', 'perplexity']",,16.9249,5.2993,contrast
наиля зиннатуллина,бизнес online,3,"['cooccurrence', 'rhetorical', 'perplexity']",,17.5961,5.5963,contrast
никифоров,з-сити,12,"['anaphora', 'cooccurrence', 'rhetorical', 'perplexity']",,17.5961,5.7228,contrast
никифоров,николай никифоров возглавил,2,"['anaphora', 'cooccurrence', 'perplexity']",,17.0678,6.8927,
главная новости автор,николай мулянский,2,"['cooccurrence', 'perplexity']",,17.4807,6.2458,
московской области екатерина,области екатерина зиновьева,2,"['cooccurrence', 'perplexity']",,16.0119,8.9442,
наукограде кольцово,эксплуатацию центра,2,"['cooccurrence', 'perplexity']",,17.1068,5.5432,
со ран,ран валерий бухтияров,2,"['cooccurrence', 'perplexity']",,16.3128,7.8308,
состоялась рабочая встреча,новосибирске состоялась рабочая,2,"['cooccurrence', 'perplexity']",,17.42,9.0817,
губернатором региона андреем,региона андреем травниковым,2,"['cooccurrence', 'perplexity']",,17.0678,11.7256,
загс,лидия алексеевна,2,"['anaphora', 'perplexity']",,17.5961,7.3593,
депутат государственной думы,думы геннадий скляр,2,"['cooccurrence', 'emotional', 'perplexity']",True,17.227,9.0817,
улице циолковского,ветеранов,2,"['cooccurrence', 'perplexity']",,17.5961,5.9118,
улице циолковского,труда на улице,2,"['cooccurrence', 'perplexity']",,17.3319,9.3857,
улице циолковского,сквер ветеранов труда,2,"['cooccurrence', 'perplexity']",,17.5961,9.3857,
труда на улице,ветеранов,2,"['cooccurrence', 'perplexity']",,16.7344,5.9118,
труда на улице,сквер ветеранов труда,2,"['cooccurrence', 'perplexity']",,16.0274,9.3857,
сквер ветеранов труда,ветеранов,2,"['cooccurrence', 'perplexity']",,17.0678,5.9118,
международному дню медицинской,дню медицинской сестры,3,"['cooccurrence', 'perplexity']",,16.9294,11.1406,
мособлдумы,мособлдумы игорь брынцалов,3,"['cooccurrence', 'perplexity']",,16.9294,6.7312,
мособлдумы,игорь брынцалов,5,"['anaphora', 'cooccurrence', 'perplexity']",,16.5961,5.8008,
игорь трифонов,московской областной думы,2,"['cooccurrence', 'perplexity']",,17.4397,8.368,
игорь трифонов,глава наукограда игорь,4,"['cooccurrence', 'emotional', 'perplexity']",True,17.4294,6.8445,
главная образование автор,юлия арбузова,2,"['cooccurrence', 'perplexity']",,17.4807,7.5708,
дмитрий воробьев,фрязино дмитрий воробьев,4,"['cooccurrence', 'perplexity']",,17.2091,7.2158,
юные виртуозы ударных,школ искусств черноголовки,4,"['cooccurrence', 'rhetorical', 'perplexity']",,17.5961,6.1201,contrast
юные виртуозы ударных,черноголовки и фрязино,4,"['cooccurrence', 'rhetorical', 'perplexity']",,17.5961,6.1201,contrast
школ искусств черноголовки,черноголовки и фрязино,5,"['cooccurrence', 'rhetorical', 'perplexity']",,16.9294,6.3324,contrast
глава комитета госдумы,вконтакте телеграм поделиться,2,"['cooccurrence', 'emotional', 'perplexity']",True,17.5961,7.7256,
игорь брынцалов,мособлдумы игорь брынцалов,4,"['anaphora', 'cooccurrence', 'perplexity']",,16.7091,6.8832,
подмосковном наукограде черноголовка,исследующих взаимосвязи,2,"['anaphora', 'perplexity']",,17.5634,7.7256,
подмосковном наукограде черноголовка,взаимосвязи между искусством,2,"['anaphora', 'perplexity']",,17.5634,7.7256,
арт-резиденция,природой и наукой,2,"['cooccurrence', 'perplexity']",,17.5961,7.6812,
арт-резиденция,прием заявок,2,"['cooccurrence', 'perplexity']",,17.5961,7.4588,
арт-резиденция,исследующих взаимосвязи,2,"['cooccurrence', 'perplexity']",,17.5961,7.2661,
арт-резиденция,взаимосвязи между искусством,2,"['cooccurrence', 'perplexity']",,17.5961,7.2661,
природой и наукой,прием заявок,2,"['cooccurrence', 'perplexity']",,15.6328,8.3333,
природой и наукой,исследующих взаимосвязи,2,"['cooccurrence', 'perplexity']",,15.6328,8.1406,
природой и наукой,взаимосвязи между искусством,2,"['cooccurrence', 'perplexity']",,15.5217,8.1406,
прием заявок,исследующих взаимосвязи,2,"['cooccurrence', 'perplexity']",,17.5961,7.9182,
прием заявок,взаимосвязи между искусством,2,"['cooccurrence', 'perplexity']",,17.5961,7.9182,
исследующих взаимосвязи,взаимосвязи между искусством,2,"['cooccurrence', 'perplexity']",,16.9986,7.7256,
жития,жития сергия,11,"['cooccurrence', 'rhetorical', 'perplexity']",,16.0111,5.277,contrast
