source,target,weight,methods,pmi
королёва,сергея королёва,4,['graphrag_baseline'],4.5168
татнефть,сколтех,2,['graphrag_baseline'],4.3963
татнефть,фонда,2,['graphrag_baseline'],4.5444
татнефть,технопарка,2,['graphrag_baseline'],5.5839
татнефть,сбербанк,4,['graphrag_baseline'],5.8958
госдумы,правительства,3,['graphrag_baseline'],4.1017
госдумы,мособлдумы,2,['graphrag_baseline'],4.3073
москву,фонда,2,['graphrag_baseline'],5.1038
ск,фонда,6,['graphrag_baseline'],5.0298
владимир острогожский,реутова,20,['graphrag_baseline'],4.4684
жк,доме ученых,2,['graphrag_baseline'],4.4306
жк,троицкая ривьера,3,['graphrag_baseline'],4.9416
жк,кп «изумрудный»,2,['graphrag_baseline'],5.8712
жк,кп «изумрудный» жк,2,['graphrag_baseline'],6.0936
жк,вилла рива,2,['graphrag_baseline'],5.3566
жк,троицк е-39 (фаворит),4,['graphrag_baseline'],5.5086
жк,легенда,3,['graphrag_baseline'],5.3566
жк,троицк е⁠-⁠39 (фаворит),2,['graphrag_baseline'],6.6785
жк,кп,2,['graphrag_baseline'],5.8712
мкада,калужское шоссе,2,['graphrag_baseline'],7.5839
институт ядерных исследований ран (ияи ран),троицкий институт инновационных и термоядерных исследований» (ао «гнц рф тринити»,2,['graphrag_baseline'],5.6423
институт ядерных исследований ран (ияи ран),государственной корпорации по атомной энергии «росатом,2,['graphrag_baseline'],5.6423
институт ядерных исследований ран (ияи ран),институт спектроскопии ран (исан),2,['graphrag_baseline'],5.6423
институт ядерных исследований ран (ияи ран),федеральное государственное бюджетное учреждение науки,2,['graphrag_baseline'],5.5782
троицкий институт инновационных и термоядерных исследований» (ао «гнц рф тринити»,государственной корпорации по атомной энергии «росатом,2,['graphrag_baseline'],5.6423
троицкий институт инновационных и термоядерных исследований» (ао «гнц рф тринити»,институт спектроскопии ран (исан),2,['graphrag_baseline'],5.6423
троицкий институт инновационных и термоядерных исследований» (ао «гнц рф тринити»,федеральное государственное бюджетное учреждение науки,2,['graphrag_baseline'],5.5782
государственной корпорации по атомной энергии «росатом,институт спектроскопии ран (исан),2,['graphrag_baseline'],5.6423
государственной корпорации по атомной энергии «росатом,федеральное государственное бюджетное учреждение науки,2,['graphrag_baseline'],5.5782
институт спектроскопии ран (исан),федеральное государственное бюджетное учреждение науки,2,['graphrag_baseline'],5.5782
сколтех,технопарка,2,['graphrag_baseline'],5.0337
сколтех,сбербанк,2,['graphrag_baseline'],4.3456
сколтех,ниу вшэ,2,['graphrag_baseline'],4.2967
сколтех,итмо,2,['graphrag_baseline'],4.2967
сколтех,мгу,2,['graphrag_baseline'],4.3963
итмо,мгу,2,['graphrag_baseline'],4.8469
мгу,ниу вшэ,3,['graphrag_baseline'],5.4319
первомайском,весна,2,['graphrag_baseline'],7.9173
яндекса,яндекс,3,['graphrag_baseline'],6.2036
научно-исследовательский институт земного магнетизма — измиран,ленинграда,2,['graphrag_baseline'],10.5612
теплый стан,калужско-рижской,2,['graphrag_baseline'],7.6543
теплый стан,сокольнической,2,['graphrag_baseline'],7.6543
северная,троицкого леса,2,['graphrag_baseline'],7.2392
северная,лесную,2,['graphrag_baseline'],8.2392
северная,троицкого,2,['graphrag_baseline'],5.6847
дмитрий медведев,сбербанк,2,['graphrag_baseline'],4.6157
фонда,технопарка,2,['graphrag_baseline'],5.1818
фонда,сбербанк,2,['graphrag_baseline'],4.4937
технопарка,сбербанк,2,['graphrag_baseline'],5.5333
сбербанк,яндекс,2,['graphrag_baseline'],4.3456
италии,it-компании,2,['graphrag_baseline'],5.6908
татарстане,татарстан,5,['graphrag_baseline'],4.7746
татарстане,свияги,2,['graphrag_baseline'],4.514
москвой,тинао,2,['graphrag_baseline'],5.3372
москвой,троицкого,2,['graphrag_baseline'],4.3061
на,рт,19,['graphrag_baseline'],4.0949
на,ренат халимов,8,['graphrag_baseline'],4.262
тинао,троицкая городская больница,2,['graphrag_baseline'],7.0376
тинао,троицкого,3,['graphrag_baseline'],5.068
троицкого,боевой славы,2,['graphrag_baseline'],6.0066
троицкого,троицкого леса,5,['graphrag_baseline'],6.3285
троицкого,октябрьскому проспекту,2,['graphrag_baseline'],6.4216
троицкого,троицкого богородицкую церковь,2,['graphrag_baseline'],6.4216
троицкого,иван борисович репнин,2,['graphrag_baseline'],6.4216
троицкого,троицкого административного округа,2,['graphrag_baseline'],7.0066
троицкого,лесную,2,['graphrag_baseline'],6.0066
николай никифоров,никифоров,4,['graphrag_baseline'],4.2169
николай никифоров,спарк-интерфакс,2,['graphrag_baseline'],4.0298
никифоров,иннополису,5,['graphrag_baseline'],4.0534
ренат халимов,оэз «иннополис»,7,['graphrag_baseline'],5.3848
моремания,красной пахре,2,['graphrag_baseline'],9.3912
троицкого леса,октябрьскому проспекту,2,['graphrag_baseline'],7.9762
троицкого леса,лесную,2,['graphrag_baseline'],7.5612
троицкая ривьера,вилла рива,2,['graphrag_baseline'],6.9173
троицкая ривьера,троицк е-39 (фаворит),2,['graphrag_baseline'],6.0693
троицкая ривьера,легенда,2,['graphrag_baseline'],6.3323
северную,октябрьский проспект,2,['graphrag_baseline'],9.9762
калужско-рижской,сокольнической,2,['graphrag_baseline'],8.5612
троицк е-39 (фаворит),легенда,2,['graphrag_baseline'],6.4844
троицкого богородицкую церковь,иван борисович репнин,2,['graphrag_baseline'],9.3912
правый берег десны,зарядье,2,['graphrag_baseline'],9.3912
октябрьским проспектом,калужским шоссе,3,['graphrag_baseline'],9.9762
садовой улицы,академика харитона,2,['graphrag_baseline'],9.3912
кп «изумрудный»,кп «изумрудный» жк,2,['graphrag_baseline'],9.1689
кп «изумрудный»,кп,3,['graphrag_baseline'],9.5314
кп «изумрудный» жк,кп,2,['graphrag_baseline'],9.1689
виктория токарева,наталья селезнева,2,['graphrag_baseline'],9.3912
виктория токарева,денис драгунский,2,['graphrag_baseline'],9.3912
виктория токарева,генрих боровик,2,['graphrag_baseline'],9.3912
наталья селезнева,денис драгунский,2,['graphrag_baseline'],9.3912
наталья селезнева,генрих боровик,2,['graphrag_baseline'],9.3912
денис драгунский,генрих боровик,2,['graphrag_baseline'],9.3912
тц «мега,трц «саларис,2,['graphrag_baseline'],10.5612
тц «мега,теплом стане,2,['graphrag_baseline'],10.5612
трц «саларис,теплом стане,2,['graphrag_baseline'],10.5612
константина симонова,владимира войновича,2,['graphrag_baseline'],8.5612
константина симонова,александра твардовского,2,['graphrag_baseline'],8.5612
константина симонова,юрия трифонова,2,['graphrag_baseline'],8.5612
константина симонова,юрия бондарева,2,['graphrag_baseline'],8.5612
владимира войновича,александра твардовского,2,['graphrag_baseline'],8.5612
владимира войновича,юрия трифонова,2,['graphrag_baseline'],8.5612
владимира войновича,юрия бондарева,2,['graphrag_baseline'],8.5612
александра твардовского,юрия трифонова,2,['graphrag_baseline'],8.5612
александра твардовского,юрия бондарева,2,['graphrag_baseline'],8.5612
юрия трифонова,юрия бондарева,2,['graphrag_baseline'],8.5612
